INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='immersion_in_python')
INFO:root:FileInfo(name='task_1', extension='.py', is_directory=False, parent_directory='seminar_1')
INFO:root:FileInfo(name='task_2', extension='.py', is_directory=False, parent_directory='seminar_1')
INFO:root:FileInfo(name='task_3', extension='.py', is_directory=False, parent_directory='seminar_1')
INFO:root:FileInfo(name='task_star', extension='.py', is_directory=False, parent_directory='seminar_1')
INFO:root:FileInfo(name='task_star_2', extension='.py', is_directory=False, parent_directory='seminar_1')
INFO:root:FileInfo(name='task2', extension='.py', is_directory=False, parent_directory='seminar_2')
INFO:root:FileInfo(name='task3', extension='.py', is_directory=False, parent_directory='seminar_2')
INFO:root:FileInfo(name='task2', extension='.py', is_directory=False, parent_directory='seminar_3')
INFO:root:FileInfo(name='task3', extension='.py', is_directory=False, parent_directory='seminar_3')
INFO:root:FileInfo(name='task4', extension='.py', is_directory=False, parent_directory='seminar_3')
INFO:root:FileInfo(name='task5', extension='.py', is_directory=False, parent_directory='seminar_3')
INFO:root:FileInfo(name='task1', extension='.py', is_directory=False, parent_directory='seminar_4')
INFO:root:FileInfo(name='task2', extension='.py', is_directory=False, parent_directory='seminar_4')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='seminar_4')
INFO:root:FileInfo(name='config', extension='.py', is_directory=False, parent_directory='task3')
INFO:root:FileInfo(name='functions', extension='.py', is_directory=False, parent_directory='task3')
INFO:root:FileInfo(name='main', extension='.py', is_directory=False, parent_directory='task3')
INFO:root:FileInfo(name='task1', extension='.py', is_directory=False, parent_directory='seminar_5')
INFO:root:FileInfo(name='task2', extension='.py', is_directory=False, parent_directory='seminar_5')
INFO:root:FileInfo(name='task3', extension='.py', is_directory=False, parent_directory='seminar_5')
INFO:root:FileInfo(name='text', extension='.txt', is_directory=False, parent_directory='seminar_5')
INFO:root:FileInfo(name='task', extension='.py', is_directory=False, parent_directory='seminar_6')
INFO:root:FileInfo(name=<built-in function dir>, extension='', is_directory=True, parent_directory='seminar_6')
INFO:root:FileInfo(name='__init__', extension='.py', is_directory=False, parent_directory='package')
INFO:root:FileInfo(name='guessing_game', extension='.py', is_directory=False, parent_directory='package')
INFO:root:FileInfo(name='mystery', extension='.py', is_directory=False, parent_directory='package')
INFO:root:FileInfo(name='check_date', extension='.py', is_directory=False, parent_directory='package')
INFO:root:FileInfo(name='chess_function', extension='.py', is_directory=False, parent_directory='package')
INFO:root:FileInfo(name='task1', extension='.py', is_directory=False, parent_directory='seminar_7')
INFO:root:FileInfo(name='task2', extension='.py', is_directory=False, parent_directory='seminar_7')
INFO:root:FileInfo(name='task3', extension='.py', is_directory=False, parent_directory='seminar_7')
INFO:root:FileInfo(name='task4', extension='.py', is_directory=False, parent_directory='seminar_7')
